epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
256/350,95.97572,10.77567,0.00017,33.25/755.17G,59.87G,0.34477866 0.6552214
257/350,95.86331,10.78132,0.00016,33.57/755.17G,59.87G,0.3447754 0.6552246
258/350,95.90827,10.80318,0.00016,34.79/755.17G,59.87G,0.34475267 0.65524733
259/350,95.88579,10.81199,0.00016,34.34/755.17G,59.87G,0.34470537 0.65529466
260/350,95.14388,10.80416,0.00015,33.93/755.17G,59.87G,0.3446504 0.6553496
261/350,95.21133,10.80415,0.00015,33.73/755.17G,59.87G,0.344661 0.655339
262/350,95.95324,10.77211,0.00015,33.56/755.17G,59.87G,0.34467447 0.65532553
263/350,95.93076,10.76964,0.00014,33.97/755.17G,59.87G,0.3446728  0.65532726
264/350,95.90827,10.76042,0.00014,34.30/755.17G,59.87G,0.34467733 0.6553227
265/350,96.02068,10.77884,0.00014,34.00/755.17G,59.87G,0.34463298 0.655367
266/350,95.97572,10.75195,0.00014,34.16/755.17G,59.87G,0.34460357 0.65539646
267/350,96.2455,10.75839,0.00013,34.70/755.17G,59.87G,0.34459448 0.6554056
268/350,96.2455,10.75921,0.00013,34.00/755.17G,59.87G,0.34460077 0.6553992
269/350,96.06565,10.75335,0.00013,34.14/755.17G,59.87G,0.34457368 0.6554263
270/350,96.11061,10.76463,0.00012,34.44/755.17G,59.87G,0.34457016 0.65542984
271/350,96.33543,10.75723,0.00012,33.48/755.17G,59.87G,0.34458518 0.65541476
272/350,95.84083,10.76814,0.00012,34.15/755.17G,59.87G,0.34456438 0.6554356
273/350,95.66097,10.75403,0.00011,37.72/755.17G,59.87G,0.3445614 0.6554386
274/350,95.79586,10.76316,0.00011,54.03/755.17G,59.87G,0.3445274 0.6554726
275/350,95.93076,10.77749,0.00011,46.00/755.17G,59.87G,0.34451765 0.6554824
276/350,95.88579,10.77497,0.00011,55.90/755.17G,59.87G,0.34449336 0.6555067
277/350,96.20054,10.7473,0.0001,33.76/755.17G,59.87G,0.34447035 0.6555296
278/350,96.04317,10.75014,0.0001,33.83/755.17G,59.87G,0.34445098 0.655549
279/350,96.02068,10.76093,0.0001,34.52/755.17G,59.87G,0.34442458 0.6555754
280/350,96.2455,10.7608,0.0001,33.87/755.17G,59.87G,0.34439036 0.65560967
281/350,95.9982,10.75434,9e-05,33.98/755.17G,59.87G,0.3443533  0.65564674
282/350,96.02068,10.72163,9e-05,33.72/755.17G,59.87G,0.34432617 0.6556738
283/350,96.02068,10.71944,9e-05,33.84/755.17G,59.87G,0.3443165  0.65568346
284/350,95.63849,10.74911,9e-05,33.59/755.17G,59.87G,0.3443069 0.6556931
285/350,96.02068,10.73988,8e-05,33.30/755.17G,59.87G,0.34429404 0.655706
286/350,95.79586,10.75418,8e-05,33.90/755.17G,59.87G,0.34429437 0.6557056
287/350,96.17806,10.74685,8e-05,34.80/755.17G,59.87G,0.34428406 0.65571594
288/350,96.13309,10.72725,8e-05,33.52/755.17G,59.87G,0.34427243 0.65572757
289/350,95.66097,10.75106,7e-05,33.77/755.17G,59.87G,0.34428295 0.6557171
290/350,95.70594,10.74601,7e-05,33.56/755.17G,59.87G,0.3442697 0.6557303
291/350,96.33543,10.74685,7e-05,34.90/755.17G,59.87G,0.3442681 0.6557319
292/350,96.22302,10.72596,7e-05,33.97/755.17G,59.87G,0.34425357 0.6557464
293/350,95.7509,10.73752,6e-05,33.94/755.17G,59.87G,0.34425735 0.6557427
294/350,95.68345,10.72567,6e-05,33.92/755.17G,59.87G,0.34424323 0.6557567
295/350,96.29047,10.72844,6e-05,33.95/755.17G,59.87G,0.34423527 0.65576476
296/350,96.15558,10.72028,6e-05,33.54/755.17G,59.87G,0.34422785 0.6557721
297/350,96.22302,10.73939,6e-05,33.83/755.17G,59.87G,0.3442221 0.6557779
